DATE,USD3MTD156N,test
2020-01-02,1.90025,
2020-01-03,1.87388,1.90025
2020-01-06,1.87225,1.87388
2020-01-07,1.8780000000000001,1.87225
2020-01-08,1.834,1.8780000000000001
2020-01-09,1.84788,1.834
2020-01-10,1.83775,1.84788
2020-01-13,1.83125,1.83775
2020-01-14,1.84263,1.83125
2020-01-15,1.8361299999999998,1.84263
2020-01-16,1.82663,1.8361299999999998
2020-01-17,1.81913,1.82663
2020-01-20,1.80213,1.81913
2020-01-21,1.80625,1.80213
2020-01-22,1.80088,1.80625
2020-01-23,1.79413,1.80088
2020-01-24,1.79538,1.79413
2020-01-27,1.7745,1.79538
2020-01-28,1.7695,1.7745
2020-01-29,1.7771299999999999,1.7695
2020-01-30,1.76325,1.7771299999999999
2020-01-31,1.7511299999999999,1.76325
2020-02-03,1.7409999999999999,1.7511299999999999
2020-02-04,1.73738,1.7409999999999999
2020-02-05,1.74163,1.73738
2020-02-06,1.73413,1.74163
2020-02-07,1.73088,1.73413
2020-02-10,1.7131299999999998,1.73088
2020-02-11,1.70725,1.7131299999999998
2020-02-12,1.70375,1.70725
2020-02-13,1.69163,1.70375
2020-02-14,1.69175,1.69163
2020-02-17,1.69288,1.69175
2020-02-18,1.6946299999999999,1.69288
2020-02-19,1.696,1.6946299999999999
2020-02-20,1.68275,1.696
2020-02-21,1.67925,1.68275
2020-02-24,1.64663,1.67925
2020-02-25,1.63763,1.64663
2020-02-26,1.61325,1.63763
2020-02-27,1.58038,1.61325
2020-02-28,1.46275,1.58038
2020-03-02,1.25375,1.46275
2020-03-03,1.31425,1.25375
2020-03-04,1.00063,1.31425
2020-03-05,0.9988799999999999,1.00063
2020-03-06,0.8959999999999999,0.9988799999999999
2020-03-09,0.76813,0.8959999999999999
2020-03-10,0.78413,0.76813
2020-03-11,0.7725,0.78413
2020-03-12,0.7405,0.7725
2020-03-13,0.8431299999999999,0.7405
2020-03-16,0.88938,0.8431299999999999
2020-03-17,1.05188,0.88938
2020-03-18,1.11575,1.05188
